,,,R1/Ohm,"Std err. R1/Ohm","Rank R1","Q2/F.s^(a - 1)","Std err. Q2/F.s^(a - 1)","Rank Q2",a2/,"Std err. a2","Rank a2",R2,"Std err. R2/Ohm","Rank R2","Q3/F.s^(a - 1)","Std err. Q3/F.s^(a - 1)","Rank Q3",a3/,"Std err. a3","Rank a3",R3,"Std err. R3/Ohm","Rank R3","Q4/F.s^(a - 1)","Std err. Q4/F.s^(a - 1)","Rank Q4",a4/,"Std err. a4","Rank a4",Chi^2/|Z|^2,Chi/sqrt(N)/Ohm
C:\Users\HOME\Desktop\JupyterWorkspace\ALBATROSS_Paper\Revision_EIS\NCM811_EIS_40cells\restcheck\260122020331_43(6-4).mpr,"Cycle 0",,4.31099987030029,xxxx,0.833333333333333,7.90199992479756E-5,xxxx,0.758503401360544,0.730499982833862,xxxx,0.972789115646258,68.4199981689453,xxxx,1,0.00510191142940898,0.000151312475094463,0.568027210884354,1,3.65714565487871E-13,0.758503401360544,13.7936543454177,0.738075701987729,0.540816326530612,0.186153652875733,0.0241206283952423,0.238095238095238,0.338764426822934,0.0469265529773902,0.299319727891156,0.0117007149149121,0.530652349416034
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Batch mean",,,4.31099987030029,,,7.90199992479756E-5,,,0.730499982833862,,,68.4199981689453,,,0.00510191125795245,,,1,,,13.7936544418335,,,0.186153650283813,,,0.338764429092407,,,,
"Batch standard deviation",,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Equivalent circuit",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R1+Q2/R2+Q3/(R3+Q4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
