,,,R1/Ohm,"Std err. R1/Ohm","Rank R1","Q2/F.s^(a - 1)","Std err. Q2/F.s^(a - 1)","Rank Q2",a2/,"Std err. a2","Rank a2",R2,"Std err. R2/Ohm","Rank R2","Q3/F.s^(a - 1)","Std err. Q3/F.s^(a - 1)","Rank Q3",a3/,"Std err. a3","Rank a3",R3,"Std err. R3/Ohm","Rank R3","Q4/F.s^(a - 1)","Std err. Q4/F.s^(a - 1)","Rank Q4",a4/,"Std err. a4","Rank a4",Chi^2/|Z|^2,Chi/sqrt(N)/Ohm
C:\Users\HOME\Desktop\JupyterWorkspace\ALBATROSS_Paper\Revision_EIS\NCM811_EIS_40cells\restcheck\260121233142_43(6-4).mpr,"Cycle 0",,4.42000007629395,xxxx,0.841216216216216,8.3929997344967E-5,xxxx,0.75,0.727699995040894,xxxx,0.962837837837838,61.3600006103516,xxxx,1,0.00588669871703542,0.000163516832947179,0.560810810810811,0.999999999999993,0.000439982944515982,0.75,11.65911908371,0.507751588350743,0.537162162162162,0.231440702155337,0.0255623563727694,0.22972972972973,0.364889030841646,0.0443761564471093,0.297297297297297,0.0165485087295427,0.482751727226852
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Batch mean",,,4.42000007629395,,,8.3929997344967E-5,,,0.727699995040894,,,61.3600006103516,,,0.00588669860735536,,,1,,,11.6591186523438,,,0.231440708041191,,,0.364889025688171,,,,
"Batch standard deviation",,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Equivalent circuit",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R1+Q2/R2+Q3/(R3+Q4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
