timestamp,temp_c
2026-01-21T23:00:08,24.9
2026-01-21T23:00:38,24.9
2026-01-21T23:01:08,24.9
2026-01-21T23:01:38,24.9
2026-01-21T23:02:08,24.9
2026-01-21T23:02:39,24.9
2026-01-21T23:03:09,24.9
2026-01-21T23:03:39,24.9
2026-01-21T23:04:09,24.9
2026-01-21T23:04:39,24.9
2026-01-21T23:05:09,24.8
2026-01-21T23:05:39,24.8
2026-01-21T23:06:09,24.8
2026-01-21T23:06:39,24.8
2026-01-21T23:07:09,24.8
2026-01-21T23:07:39,24.8
2026-01-21T23:08:09,24.8
2026-01-21T23:08:39,24.8
2026-01-21T23:09:09,24.8
2026-01-21T23:09:39,24.8
2026-01-21T23:10:09,24.8
2026-01-21T23:10:39,24.8
2026-01-21T23:11:09,24.8
2026-01-21T23:11:39,24.8
2026-01-21T23:12:09,24.8
2026-01-21T23:12:39,24.8
2026-01-21T23:13:09,24.8
2026-01-21T23:13:39,24.8
2026-01-21T23:14:09,24.8
2026-01-21T23:14:39,24.8
2026-01-21T23:15:10,24.8
2026-01-21T23:15:40,24.8
2026-01-21T23:16:10,24.8
2026-01-21T23:16:40,24.8
2026-01-21T23:17:10,24.8
2026-01-21T23:17:40,24.7
2026-01-21T23:18:10,24.7
2026-01-21T23:18:40,24.8
2026-01-21T23:19:10,24.8
2026-01-21T23:19:40,24.7
2026-01-21T23:20:10,24.7
2026-01-21T23:20:40,24.7
2026-01-21T23:21:10,24.7
2026-01-21T23:21:40,24.7
2026-01-21T23:22:10,24.7
2026-01-21T23:22:40,24.7
2026-01-21T23:23:10,24.7
2026-01-21T23:23:40,24.7
2026-01-21T23:24:10,24.7
2026-01-21T23:24:40,24.7
2026-01-21T23:25:11,24.7
2026-01-21T23:25:41,24.7
2026-01-21T23:26:11,24.7
2026-01-21T23:26:41,24.7
2026-01-21T23:27:11,24.7
2026-01-21T23:27:41,24.7
2026-01-21T23:28:11,24.7
2026-01-21T23:28:41,24.7
2026-01-21T23:29:11,24.7
