,,,R1/Ohm,"Std err. R1/Ohm","Rank R1","Q2/F.s^(a - 1)","Std err. Q2/F.s^(a - 1)","Rank Q2",a2/,"Std err. a2","Rank a2",R2,"Std err. R2/Ohm","Rank R2","Q3/F.s^(a - 1)","Std err. Q3/F.s^(a - 1)","Rank Q3",a3/,"Std err. a3","Rank a3",R3,"Std err. R3/Ohm","Rank R3","Q4/F.s^(a - 1)","Std err. Q4/F.s^(a - 1)","Rank Q4",a4/,"Std err. a4","Rank a4",Chi^2/|Z|^2,Chi/sqrt(N)/Ohm
C:\Users\HOME\Desktop\JupyterWorkspace\ALBATROSS_Paper\Revision_EIS\NCM811_EIS_40cells\restcheck\260122022442_43(6-4).mpr,"Cycle 0",,4.26999998092651,xxxx,0.833333333333333,7.93700019130483E-5,xxxx,0.758503401360544,0.729200005531311,xxxx,0.972789115646258,69.4800033569336,xxxx,1,0.00511921241567009,0.000156932819049258,0.568027210884354,0.999999999999994,0.000495276980433077,0.758503401360544,14.4336705286944,0.745030346833606,0.540816326530612,0.196607639360746,0.0266714955095096,0.238095238095238,0.354677657666693,0.0579441941522562,0.299319727891156,0.0162685264697558,0.554036741700881
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Batch mean",,,4.26999998092651,,,7.93700019130483E-5,,,0.729200005531311,,,69.4800033569336,,,0.00511921243742108,,,1,,,14.4336709976196,,,0.196607634425163,,,0.354677647352219,,,,
"Batch standard deviation",,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Equivalent circuit",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R1+Q2/R2+Q3/(R3+Q4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
