,,,R1/Ohm,"Std err. R1/Ohm","Rank R1","Q2/F.s^(a - 1)","Std err. Q2/F.s^(a - 1)","Rank Q2",a2/,"Std err. a2","Rank a2",R2,"Std err. R2/Ohm","Rank R2","Q3/F.s^(a - 1)","Std err. Q3/F.s^(a - 1)","Rank Q3",a3/,"Std err. a3","Rank a3",R3,"Std err. R3/Ohm","Rank R3","Q4/F.s^(a - 1)","Std err. Q4/F.s^(a - 1)","Rank Q4",a4/,"Std err. a4","Rank a4",Chi^2/|Z|^2,Chi/sqrt(N)/Ohm
C:\Users\HOME\Desktop\JupyterWorkspace\ALBATROSS_Paper\Revision_EIS\NCM811_EIS_40cells\restcheck\260122012812_43(6-4).mpr,"Cycle 0",,4.30100011825562,xxxx,0.833898305084746,7.98900000518188E-5,xxxx,0.755932203389831,0.729900002479553,xxxx,0.966101694915254,66.8399963378906,xxxx,1,0.0052548564746757,0.000156808698366713,0.566101694915254,1,5.35591739097476E-16,0.755932203389831,13.7713335376949,0.711543582210692,0.538983050847458,0.205053725849468,0.0276442928220712,0.233898305084746,0.363969732174745,0.0524055313206368,0.298305084745763,0.0132557504435665,0.509402245119257
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Batch mean",,,4.30100011825562,,,7.98900000518188E-5,,,0.729900002479553,,,66.8399963378906,,,0.00525485631078482,,,1,,,13.771333694458,,,0.205053731799126,,,0.363969743251801,,,,
"Batch standard deviation",,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Equivalent circuit",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R1+Q2/R2+Q3/(R3+Q4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
