,,,R1/Ohm,"Std err. R1/Ohm","Rank R1","Q2/F.s^(a - 1)","Std err. Q2/F.s^(a - 1)","Rank Q2",a2/,"Std err. a2","Rank a2",R2,"Std err. R2/Ohm","Rank R2","Q3/F.s^(a - 1)","Std err. Q3/F.s^(a - 1)","Rank Q3",a3/,"Std err. a3","Rank a3",R3,"Std err. R3/Ohm","Rank R3","Q4/F.s^(a - 1)","Std err. Q4/F.s^(a - 1)","Rank Q4",a4/,"Std err. a4","Rank a4",Chi^2/|Z|^2,Chi/sqrt(N)/Ohm
C:\Users\HOME\Desktop\JupyterWorkspace\ALBATROSS_Paper\Revision_EIS\NCM811_EIS_40cells\2\260125191541_8(2-1).mpr,"Cycle 0",,3.3970000743866,xxxx,0.720306513409962,6.87400024617091E-5,xxxx,0.67816091954023,0.749400019645691,xxxx,0.873563218390805,53.4000015258789,xxxx,1,0.00673400005325675,xxxx,0.582375478927203,0.869199991226196,xxxx,0.770114942528736,18.1299991607666,xxxx,0.547892720306513,0.24016856838271,0.00325270402046065,0.218390804597701,0.471564341766835,0.00914684587049399,0.298850574712644,0.00193313473458419,0.304757692427115
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Batch mean",,,3.3970000743866,,,6.87400024617091E-5,,,0.749400019645691,,,53.4000015258789,,,0.00673400005325675,,,0.869199991226196,,,18.1299991607666,,,0.240168571472168,,,0.47156435251236,,,,
"Batch standard deviation",,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Equivalent circuit",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R1+Q2/R2+Q3/(R3+Q4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
